GPStime,peakFreq,snr,Standard example? (y/n)
1250782547.375,28.669,9.478,y
1238355879.438,31.851,8.154,n
1238367405.875,28.469,12.591,y
1251539271.625,28.669,12.273,y
1248325330.438,32.162,10.372,y
1243911644.438,31.035,9.118,y
1240319175.563,31.851,7.844,y
1238611059.938,25.268,8.808,y
1244942151.063,28.898,8.927,y
1251535944.375,26.583,13.809,y
1238518149.625,34.073,14.342,y
1244980173.625,30.056,11.327,y
1238368521.625,33.12,8.796,y
1247962198.625,27.868,8.525,y
1240104727.875,32.193,12.573,y
1252801874.625,28.4,10.003,y
1247452012.875,26.835,12.264,n
1245308933.438,29.948,8.469,y
1250052393.375,27.09,13.029,y
1242347472.375,31.509,10.928,y
1239249866.563,30.193,9.342,n
1246924864.375,28.669,13.619,y
1238617075.688,30.736,10.704,y
1245773581.688,29.418,9.452,y
1253578995.125,33.983,14.601,y
1253808885.125,27.09,12.171,y
1244944827.625,26.835,9.116,y
1240321498.125,30.131,8.949,n
1239296729.875,32.499,15.958,y
1247524348.125,33.663,16.414,y
1238372710.125,30.417,8.28,y
1238908944.313,30.736,33.151,n
1247528571.875,32.415,16.698,y
1253407526.813,29.948,9.535,y
1253229773.188,27.393,12.284,y
1238562162.875,32.808,15.591,y
1238618789.938,26.655,13.474,y
1252796240.313,29.948,10.394,y
1247119998.313,28.898,9.524,n
1250781468.813,28.898,10.272,y
1248763228.125,33.347,9.438,y
1251537978.875,26.835,9.298,y
1253941260.125,31.509,11.502,y
1246069153.938,28.898,9.75,y
1253944252.563,19.174,14.688,y
1242838929.625,26.333,8.391,y
1248805061.375,29.493,14.783,y
1247970025.063,32.162,12.897,y
1250453482.875,29.493,11.433,y
1245110755.688,23.331,14.892,y
1250992493.875,28.669,13.068,y
1253423737.875,33.347,11.114,y
1247530817.125,33.663,14.015,y
1250732965.875,31.509,12.9,y
1253423847.875,33.663,13.109,y
1250454690.375,30.341,11.296,y
1242210145.688,29.418,15.16,n
1242137377.125,34.305,15.39,y
1248305709.375,28.941,12.982,y
1248311485.875,30.341,8.386,y
1239106273.188,39.64,16.231,y
1250736023.438,30.487,9.859,y
1249410548.125,31.509,12.567,y
1238619930.313,28.623,18.645,y
1247549394.563,27.886,8.475,y
1247186631.625,31.809,12.586,y
1250992704.938,32.162,11.797,y
1247673702.563,30.487,11.538,y
1250733105.125,28.941,10.586,y
1248325560.125,29.773,10.249,y
1244942133.125,28.4,9.976,y
1247773581.125,28.133,14.945,y
1251606031.563,30.487,12.292,y
1251554413.375,30.629,13.199,y
1247455617.313,27.886,10.387,y
1242267772.688,31.035,9.807,y
1238908206.563,29.137,26.309,y
1245414285.375,30.056,9.193,n
