GPStime,peakFreq,snr,Standard example? (y/n)
1242314044.938,31.594,7.715,n
1243614389.047,32.268,8.521,y
1249668372.531,31.798,9.175,y
1253534037.375,26.085,59.046,y
1239205752.063,24.822,42.734,y
1241812725.375,24.882,97.813,y
1243437570.313,22.918,8.182,y
1244230548.063,31.035,11.155,y
1253900337.625,28.669,8.543,y
1249651213.766,28.43,7.608,y
1243616351.125,35.291,7.522,y
1239166800.688,23.953,96.607,y
1250160981.438,28.898,9.269,y
1242747930.438,28.388,9.219,y
1244822556.688,33.33,23.713,n
1242315004.375,35.291,166.234,y
1252256612.813,26.909,7.968,y
1243348253.375,28.4,7.85,y
1243283537.625,30.92,9.506,y
1243260637.688,29.418,8.368,y
1239169627.125,23.562,61.142,y
1252336049.625,31.213,8.169,n
1245671700.125,18.502,51.002,y
1243265325.375,26.333,9.163,y
1243599170.625,25.356,7.897,y
1243284599.563,26.909,8.621,y
1253551681.938,34.541,9.19,y
1240933349.438,24.613,7.645,y
1239183895.188,19.063,31.682,y
1239162594.063,20.406,43.453,y
1253212016.938,33.33,8.372,y
1243186741.188,29.418,8.138,y
1241800430.813,21.34,92.919,y
1253827321.125,28.669,133.674,y
1240759015.305,30.734,8.483,y
1253040117.055,27.308,9.49,y
1241848703.375,18.502,44.103,y
1250523699.188,19.229,31.733,y
1249913344.625,28.133,8.596,y
1243627136.813,29.418,8.291,y
1241991221.438,28.898,7.713,y
1253533999.375,29.773,107.278,y
1243259657.688,30.487,9.377,y
1240177937.625,27.672,7.94,y
1250866032.531,51.137,10.228,y
1241794948.313,25.966,138.189,y
1246476596.063,26.433,9.072,y
1243718404.938,25.507,7.717,y
1238504826.938,19.063,36.199,y
1243281806.688,29.948,10.732,y
1243687577.063,26.909,9.167,y
1242316296.125,30.056,172.338,y
1245132067.875,24.187,8.042,y
1250270091.188,22.918,12.259,y
1252428181.688,32.741,7.921,y
1239022735.438,30.736,8.916,y
1238515787.188,24.822,106.735,y
1241807239.563,19.871,31.378,y
1240084997.188,33.005,8.253,y
1240926222.063,31.594,7.902,y
1242739470.813,30.487,7.6,y
1240922661.078,34.378,8.912,y
1251822560.438,20.963,57.991,y
1239165867.063,20.406,52.762,y
1238345578.188,28.623,8.028,y
1250540685.875,23.959,62.479,y
1250539992.125,23.734,11.874,y
1249996907.688,27.886,8.317,y
1241800207.688,32.162,70.178,y
1246367918.813,19.871,38.293,y
1245068092.875,24.882,8.49,y
1243442217.656,32.882,7.718,y
1251721096.125,23.071,11.179,y
1244642560.563,33.93,9.491,y
1243622042.313,30.487,13.851,y
1249674546.375,27.868,7.622,y
1246475920.625,30.629,8.056,y
1242172047.813,20.592,76.321,y
1250517327.047,34.378,8.302,y
1253460615.875,28.669,9.854,y
1253102081.875,18.835,33.194,y
1253031753.063,19.519,39.673,y
1242667661.813,29.418,7.598,y
1239165870.688,20.406,53.907,y
1241796009.563,20.963,52.267,y
1245489464.563,19.174,44.382,y
1244647887.188,27.393,8.29,y
1238514712.188,24.822,49.084,y
1243429866.688,29.948,7.599,y
1250339860.813,29.418,7.923,y
1241798360.625,20.794,21.939,y
1241861838.063,19.174,50.07,y
1243345232.375,30.341,14.779,y
